Image_Key,Filename,Rating,Chainage,Latitude,Longitude
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.640 1.JPG,N04D226C    0.640 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.645 1.JPG,N04D226C    0.645 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.650 1.JPG,N04D226C    0.650 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.655 1.JPG,N04D226C    0.655 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.660 1.JPG,N04D226C    0.660 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.665 1.JPG,N04D226C    0.665 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.670 1.JPG,N04D226C    0.670 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.675 1.JPG,N04D226C    0.675 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.680 1.JPG,N04D226C    0.680 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.685 1.JPG,N04D226C    0.685 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.690 1.JPG,N04D226C    0.690 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.695 1.JPG,N04D226C    0.695 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.700 1.JPG,N04D226C    0.700 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.705 1.JPG,N04D226C    0.705 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.710 1.JPG,N04D226C    0.710 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.715 1.JPG,N04D226C    0.715 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.720 1.JPG,N04D226C    0.720 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.725 1.JPG,N04D226C    0.725 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.730 1.JPG,N04D226C    0.730 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.735 1.JPG,N04D226C    0.735 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.740 1.JPG,N04D226C    0.740 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.745 1.JPG,N04D226C    0.745 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.750 1.JPG,N04D226C    0.750 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.755 1.JPG,N04D226C    0.755 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.760 1.JPG,N04D226C    0.760 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.765 1.JPG,N04D226C    0.765 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.770 1.JPG,N04D226C    0.770 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.775 1.JPG,N04D226C    0.775 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.780 1.JPG,N04D226C    0.780 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.785 1.JPG,N04D226C    0.785 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.790 1.JPG,N04D226C    0.790 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.795 1.JPG,N04D226C    0.795 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.800 1.JPG,N04D226C    0.800 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.805 1.JPG,N04D226C    0.805 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.810 1.JPG,N04D226C    0.810 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.815 1.JPG,N04D226C    0.815 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.820 1.JPG,N04D226C    0.820 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.825 1.JPG,N04D226C    0.825 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.830 1.JPG,N04D226C    0.830 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.835 1.JPG,N04D226C    0.835 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.840 1.JPG,N04D226C    0.840 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.845 1.JPG,N04D226C    0.845 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.850 1.JPG,N04D226C    0.850 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.855 1.JPG,N04D226C    0.855 1.JPG,3,,,
